variable,label,aspirin_alloc,heparin_alloc,treatment_combo,patients,events,risk,standard_error,ci_lower,ci_upper
PE14,Indicator of pulmonary embolism within 14 days,1,Low,Aspirin + Low heparin,2432,13,0.005345394736842105,0.0014785780492339866,0.0024473817603434915,0.00824340771334072
PE14,Indicator of pulmonary embolism within 14 days,1,Medium,Aspirin + Medium heparin,2430,8,0.0032921810699588477,0.0011620442137175084,0.0010145744110725313,0.0055697877288451644
PE14,Indicator of pulmonary embolism within 14 days,1,None,Aspirin + No heparin,4858,36,0.007410456978180321,0.001230491414079127,0.004998693806585232,0.00982222014977541
DVT14,Indicator of deep vein thrombosis on discharge form,0,Low,No aspirin + Low heparin,2429,2,8.233841086867024e-4,5.819807418646281e-4,-3.172981453679687e-4,0.0019640663627413734
DVT14,Indicator of deep vein thrombosis on discharge form,0,Medium,No aspirin + Medium heparin,2426,1,4.1220115416323167e-4,4.1211619051105357e-4,-3.955465792384333e-4,0.0012199488875648966
DVT14,Indicator of deep vein thrombosis on discharge form,0,None,No aspirin + No heparin,4860,11,0.0022633744855967077,6.816603461228084e-4,9.273202071960031e-4,0.003599428763997412
DVT14,Indicator of deep vein thrombosis on discharge form,1,Low,Aspirin + Low heparin,2432,2,8.223684210526315e-4,5.812631334228916e-4,-3.1690732045623594e-4,0.0019616441625614992
DVT14,Indicator of deep vein thrombosis on discharge form,1,Medium,Aspirin + Medium heparin,2430,0,0,0,0,0
DVT14,Indicator of deep vein thrombosis on discharge form,1,None,Aspirin + No heparin,4858,6,0.0012350761630300535,5.03906262296748e-4,2.474198889284274e-4,0.0022227324371316796
TRAN14,Indicator of major non-cerebral bleed within 14 days,0,Low,No aspirin + Low heparin,2429,10,0.004116920543433511,0.001299201944716301,0.0015704847317895617,0.006663356355077461
TRAN14,Indicator of major non-cerebral bleed within 14 days,0,Medium,No aspirin + Medium heparin,2426,33,0.013602638087386645,0.002351755262149159,0.008993197773574293,0.018212078401198997
TRAN14,Indicator of major non-cerebral bleed within 14 days,0,None,No aspirin + No heparin,4860,14,0.002880658436213992,7.687786587635883e-4,0.0013738522650373589,0.0043874646073906245
TRAN14,Indicator of major non-cerebral bleed within 14 days,1,Low,Aspirin + Low heparin,2432,20,0.008223684210526315,0.0018312949325963038,0.00463434614263756,0.011813022278415072
TRAN14,Indicator of major non-cerebral bleed within 14 days,1,Medium,Aspirin + Medium heparin,2430,66,0.027160493827160494,0.003297511307632017,0.02069737166420174,0.033623615990119246
TRAN14,Indicator of major non-cerebral bleed within 14 days,1,None,Aspirin + No heparin,4858,23,0.004734458624948539,9.848631578982642e-4,0.002804126835467941,0.006664790414429136
NCB14,Indicator of any non-cerebral bleed within 14 days,0,Low,No aspirin + Low heparin,2429,37,0.015232606010703994,0.0024850788746240597,0.010361851416440838,0.02010336060496715
NCB14,Indicator of any non-cerebral bleed within 14 days,0,Medium,No aspirin + Medium heparin,2426,131,0.05399835119538335,0.0045887119674281026,0.04500447573922427,0.06299222665154243
NCB14,Indicator of any non-cerebral bleed within 14 days,0,None,No aspirin + No heparin,4860,19,0.003909465020576132,8.951378843863023e-4,0.0021549947671789796,0.005663935273973284
NCB14,Indicator of any non-cerebral bleed within 14 days,1,Low,Aspirin + Low heparin,2432,59,0.02425986842105263,0.0031198198648318006,0.0181450214859823,0.03037471535612296
NCB14,Indicator of any non-cerebral bleed within 14 days,1,Medium,Aspirin + Medium heparin,2430,217,0.08930041152263374,0.005785103903179716,0.0779616078724015,0.10063921517286598
NCB14,Indicator of any non-cerebral bleed within 14 days,1,None,Aspirin + No heparin,4858,68,0.01399752984767394,0.0016855279066121033,0.010693895150714217,0.017301164544633662
dead_6m,Dead 6 months,0,Low,No aspirin + Low heparin,2406,579,0.24064837905236908,0.008714954439700188,0.2235670683505567,0.2577296897541814
dead_6m,Dead 6 months,0,Medium,No aspirin + Medium heparin,2410,563,0.23360995850622407,0.008619103211068275,0.21671651621253024,0.2505034007999179
dead_6m,Dead 6 months,0,None,No aspirin + No heparin,4828,1087,0.2251449875724938,0.00601115233469786,0.213363128996486,0.2369268461485016
dead_6m,Dead 6 months,1,Low,Aspirin + Low heparin,2409,521,0.21627231216272313,0.00838812042108573,0.1998315961373951,0.23271302818805117
dead_6m,Dead 6 months,1,Medium,Aspirin + Medium heparin,2412,565,0.23424543946932005,0.008623661805413045,0.2173430623307105,0.2511478166079296
dead_6m,Dead 6 months,1,None,Aspirin + No heparin,4814,1054,0.21894474449522228,0.005960121305907015,0.20726290673564451,0.23062658225480004
