variable,label,heparin_alloc,category,count,percent
infarct_visible_ct,Infarct visible on CT,Medium,No,3225,66.41268533772653
infarct_visible_ct,Infarct visible on CT,Medium,Yes,1631,33.58731466227348
prior_aspirin,Prior aspirin,Medium,Missing,245,5.045304777594728
prior_aspirin,Prior aspirin,Medium,No,3590,73.92915980230643
prior_aspirin,Prior aspirin,Medium,Yes,1021,21.025535420098848
prior_heparin,Prior heparin,Medium,Missing,87,1.7915980230642503
prior_heparin,Prior heparin,Medium,No,4664,96.04612850082373
prior_heparin,Prior heparin,Medium,Yes,105,2.162273476112026
sex,Sex,Medium,Female,2250,46.33443163097199
sex,Sex,Medium,Male,2606,53.66556836902801
stroke_subtype,Stroke subtype,Medium,Lacunar syndrome,1166,24.01153212520593
stroke_subtype,Stroke subtype,Medium,Other,21,0.43245469522240526
stroke_subtype,Stroke subtype,Medium,Partial anterior circulation syndrome,1975,40.671334431630974
stroke_subtype,Stroke subtype,Medium,Posterior circulation syndrome,540,11.120263591433279
stroke_subtype,Stroke subtype,Medium,Total anterior circulation syndrome,1154,23.764415156507415
wakeup_stroke,Wakeup stroke,Medium,No,3417,70.3665568369028
wakeup_stroke,Wakeup stroke,Medium,Yes,1439,29.633443163097198
atrial_fibrillation,Atrial fibrillation,None,Missing,493,5.073060300473348
atrial_fibrillation,Atrial fibrillation,None,No,7613,78.33916443712698
atrial_fibrillation,Atrial fibrillation,None,Yes,1612,16.58777526239967
consciousness,Consciousness,None,Drowsy,2128,21.897509775674006
consciousness,Consciousness,None,Fully alert,7462,76.78534677917267
consciousness,Consciousness,None,Unconscious,128,1.3171434451533237
ct_before_randomization,CT before randomization,None,No,3214,33.07264869314674
ct_before_randomization,CT before randomization,None,Yes,6504,66.92735130685327
deficit_arm,Deficit arm,None,Missing,65,0.6688619057419222
deficit_arm,Deficit arm,None,No,1341,13.799135624614118
deficit_arm,Deficit arm,None,Yes,8312,85.53200246964396
deficit_brainstem,Deficit brainstem,None,Missing,786,8.088083967894628
deficit_brainstem,Deficit brainstem,None,No,7880,81.08664334225149
deficit_brainstem,Deficit brainstem,None,Yes,1052,10.825272689853879
deficit_dysphasia,Deficit dysphasia,None,Missing,300,3.0870549495781026
deficit_dysphasia,Deficit dysphasia,None,No,5138,52.87096110310763
deficit_dysphasia,Deficit dysphasia,None,Yes,4280,44.041983947314264
deficit_face,Deficit face,None,Missing,139,1.4303354599711875
deficit_face,Deficit face,None,No,2525,25.982712492282364
deficit_face,Deficit face,None,Yes,7054,72.58695204774645
deficit_hemianopia,Deficit hemianopia,None,Missing,2011,20.69355834533855
deficit_hemianopia,Deficit hemianopia,None,No,6168,63.46984976332579
deficit_hemianopia,Deficit hemianopia,None,Yes,1539,15.836591891335665
deficit_leg,Deficit leg,None,Missing,131,1.3480139946491048
deficit_leg,Deficit leg,None,No,2283,23.49248816628936
deficit_leg,Deficit leg,None,Yes,7304,75.15949783906153
deficit_other,Deficit other,None,Missing,616,6.33875282980037
deficit_other,Deficit other,None,No,8501,87.47684708787817
deficit_other,Deficit other,None,Yes,601,6.184400082321465
deficit_visuospatial,Deficit visuospatial,None,Missing,1743,17.935789257048775
deficit_visuospatial,Deficit visuospatial,None,No,6375,65.59991767853468
deficit_visuospatial,Deficit visuospatial,None,Yes,1600,16.464293064416548
infarct_visible_ct,Infarct visible on CT,None,No,6476,66.63922617822597
infarct_visible_ct,Infarct visible on CT,None,Yes,3242,33.360773821774025
prior_aspirin,Prior aspirin,None,Missing,493,5.073060300473348
prior_aspirin,Prior aspirin,None,No,7287,74.98456472525211
prior_aspirin,Prior aspirin,None,Yes,1938,19.942374974274543
prior_heparin,Prior heparin,None,Missing,171,1.7596213212595184
prior_heparin,Prior heparin,None,No,9329,95.99711874871373
prior_heparin,Prior heparin,None,Yes,218,2.2432599300267544
sex,Sex,None,Female,4559,46.9129450504219
sex,Sex,None,Male,5159,53.0870549495781
stroke_subtype,Stroke subtype,None,Lacunar syndrome,2329,23.965836591891335
stroke_subtype,Stroke subtype,None,Other,27,0.27783494546202925
stroke_subtype,Stroke subtype,None,Partial anterior circulation syndrome,3942,40.563902037456266
stroke_subtype,Stroke subtype,None,Posterior circulation syndrome,1096,11.278040749125335
stroke_subtype,Stroke subtype,None,Total anterior circulation syndrome,2324,23.914385676065034
wakeup_stroke,Wakeup stroke,None,No,6860,70.59065651368594
wakeup_stroke,Wakeup stroke,None,Yes,2858,29.409343486314057
