variable,label,category,comparison,smd,absolute_smd
stroke_subtype,Stroke subtype,Posterior circulation syndrome,Low vs None,-0.027990404846534832,0.027990404846534832
stroke_subtype,Stroke subtype,Total anterior circulation syndrome,Low vs Medium,-0.002323952123535658,0.002323952123535658
stroke_subtype,Stroke subtype,Total anterior circulation syndrome,Low vs None,0.001195650201463091,0.001195650201463091
wakeup_stroke,Wakeup stroke,No,Low vs Medium,-0.02377229901871934,0.02377229901871934
wakeup_stroke,Wakeup stroke,No,Low vs None,-0.018858936004763356,0.018858936004763356
wakeup_stroke,Wakeup stroke,Yes,Low vs Medium,0.02377229901871946,0.02377229901871946
wakeup_stroke,Wakeup stroke,Yes,Low vs None,0.018858936004763356,0.018858936004763356
atrial_fibrillation,Atrial fibrillation,No,Medium vs None,-0.0124814879713731,0.0124814879713731
atrial_fibrillation,Atrial fibrillation,Yes,Medium vs None,0.012481487971373245,0.012481487971373245
consciousness,Consciousness,Drowsy,Medium vs None,0.0011672127820340507,0.0011672127820340507
consciousness,Consciousness,Fully alert,Medium vs None,3.3965477367686893e-4,3.3965477367686893e-4
consciousness,Consciousness,Unconscious,Medium vs None,-0.005426993879233061,0.005426993879233061
ct_before_randomization,CT before randomization,No,Medium vs None,0.0035073144157883895,0.0035073144157883895
ct_before_randomization,CT before randomization,Yes,Medium vs None,-0.0035073144157882715,0.0035073144157882715
deficit_arm,Deficit arm,No,Medium vs None,-0.0031637367514075936,0.0031637367514075936
deficit_arm,Deficit arm,Yes,Medium vs None,0.003163736751407914,0.003163736751407914
deficit_brainstem,Deficit brainstem,No,Medium vs None,-0.007000448376330097,0.007000448376330097
deficit_brainstem,Deficit brainstem,Yes,Medium vs None,0.007000448376329923,0.007000448376329923
deficit_dysphasia,Deficit dysphasia,No,Medium vs None,-0.01982817260955333,0.01982817260955333
deficit_dysphasia,Deficit dysphasia,Yes,Medium vs None,0.01982817260955333,0.01982817260955333
deficit_face,Deficit face,No,Medium vs None,-0.006294908378711312,0.006294908378711312
deficit_face,Deficit face,Yes,Medium vs None,0.006294908378711187,0.006294908378711187
deficit_hemianopia,Deficit hemianopia,No,Medium vs None,-0.007347971544414529,0.007347971544414529
deficit_hemianopia,Deficit hemianopia,Yes,Medium vs None,0.007347971544414668,0.007347971544414668
deficit_leg,Deficit leg,No,Medium vs None,0.014614269618849497,0.014614269618849497
deficit_leg,Deficit leg,Yes,Medium vs None,-0.014614269618849565,0.014614269618849565
deficit_other,Deficit other,No,Medium vs None,0.007964994571218891,0.007964994571218891
deficit_other,Deficit other,Yes,Medium vs None,-0.007964994571218558,0.007964994571218558
deficit_visuospatial,Deficit visuospatial,No,Medium vs None,-0.0028123913013914305,0.0028123913013914305
deficit_visuospatial,Deficit visuospatial,Yes,Medium vs None,0.0028123913013912917,0.0028123913013912917
infarct_visible_ct,Infarct visible on CT,No,Medium vs None,0.004800628558143866,0.004800628558143866
infarct_visible_ct,Infarct visible on CT,Yes,Medium vs None,-0.004800628558143983,0.004800628558143983
prior_aspirin,Prior aspirin,No,Medium vs None,0.027584665464871462,0.027584665464871462
prior_aspirin,Prior aspirin,Yes,Medium vs None,-0.0275846654648714,0.0275846654648714
prior_heparin,Prior heparin,No,Medium vs None,-0.0055192905866045545,0.0055192905866045545
prior_heparin,Prior heparin,Yes,Medium vs None,0.005519290586604386,0.005519290586604386
sex,Sex,Female,Medium vs None,0.011596932907214686,0.011596932907214686
sex,Sex,Male,Medium vs None,-0.011596932907214686,0.011596932907214686
stroke_subtype,Stroke subtype,Lacunar syndrome,Medium vs None,-0.0010701175158256604,0.0010701175158256604
stroke_subtype,Stroke subtype,Other,Medium vs None,-0.02599390102455898,0.02599390102455898
stroke_subtype,Stroke subtype,Partial anterior circulation syndrome,Medium vs None,-0.002187507149006871,0.002187507149006871
stroke_subtype,Stroke subtype,Posterior circulation syndrome,Medium vs None,0.005003159611236108,0.005003159611236108
stroke_subtype,Stroke subtype,Total anterior circulation syndrome,Medium vs None,0.003519603388707376,0.003519603388707376
wakeup_stroke,Wakeup stroke,No,Medium vs None,0.004912985247956833,0.004912985247956833
wakeup_stroke,Wakeup stroke,Yes,Medium vs None,-0.004912985247956954,0.004912985247956954
