variable,label,aspirin_alloc,category,count,percent
prior_aspirin,Prior aspirin,1,No,7266,74.75308641975309
prior_aspirin,Prior aspirin,1,Yes,1961,20.174897119341562
prior_heparin,Prior heparin,1,Missing,172,1.7695473251028806
prior_heparin,Prior heparin,1,No,9333,96.01851851851852
prior_heparin,Prior heparin,1,Yes,215,2.211934156378601
sex,Sex,1,Female,4567,46.98559670781893
sex,Sex,1,Male,5153,53.01440329218107
stroke_subtype,Stroke subtype,1,Lacunar syndrome,2326,23.930041152263374
stroke_subtype,Stroke subtype,1,Other,26,0.2674897119341564
stroke_subtype,Stroke subtype,1,Partial anterior circulation syndrome,3920,40.32921810699588
stroke_subtype,Stroke subtype,1,Posterior circulation syndrome,1121,11.53292181069959
stroke_subtype,Stroke subtype,1,Total anterior circulation syndrome,2327,23.940329218106996
wakeup_stroke,Wakeup stroke,1,No,6899,70.97736625514403
wakeup_stroke,Wakeup stroke,1,Yes,2821,29.022633744855966
