variable,label,comparison,smd,absolute_smd
AGE,Age,No vs Yes,0.0030856474196931704,0.0030856474196931704
RDELAY,Treatment delay,No vs Yes,0.0020165945876051074,0.0020165945876051074
RSBP,Systolic blood pressure,No vs Yes,-0.011340757970417977,0.011340757970417977
