variable,label,comparison,smd,absolute_smd
AGE,Age,Low vs Medium,0.013771432929319332,0.013771432929319332
AGE,Age,Low vs None,0.0027236698508185907,0.0027236698508185907
RDELAY,Treatment delay,Low vs Medium,0.004431220826702915,0.004431220826702915
RDELAY,Treatment delay,Low vs None,0.019888226232099168,0.019888226232099168
RSBP,Systolic blood pressure,Low vs Medium,-0.04664036805086527,0.04664036805086527
RSBP,Systolic blood pressure,Low vs None,-0.04096876556991108,0.04096876556991108
AGE,Age,Medium vs None,-0.011009628232130985,0.011009628232130985
RDELAY,Treatment delay,Medium vs None,0.015535167053194819,0.015535167053194819
RSBP,Systolic blood pressure,Medium vs None,0.005232402144699489,0.005232402144699489
